id,account,type,amount,atm_id
59,582753,RETRIEVAL,-50,10007
60,958114,SERVICE_PAY,-450,10003
61,828086,BALANCE_CHECK,2500,10001
62,946596,BALANCE_CHECK,2000,10007
63,637833,RETRIEVAL,-200,10008
64,443562,DEPOSIT,400,10012
65,791402,SERVICE_PAY,-500,10013
66,692833,RETRIEVAL,-350,10010
67,754991,RETRIEVAL,-450,10003
68,839647,RETRIEVAL,-450,10014
69,556524,BALANCE_CHECK,4500,10007
70,554380,DEPOSIT,900,10000
71,133521,DEPOSIT,600,10001
72,182500,SERVICE_PAY,-150,10003
73,693293,RETRIEVAL,-500,10008
74,811329,BALANCE_CHECK,4500,10002
75,226770,DEPOSIT,800,10000
76,402189,DEPOSIT,500,10001
77,828086,SERVICE_PAY,-400,10014
78,429023,BALANCE_CHECK,1500,10003
79,755454,SERVICE_PAY,-350,10003
80,811329,DEPOSIT,200,10006
81,214694,BALANCE_CHECK,2500,10000
82,429023,BALANCE_CHECK,2500,10013
83,297512,RETRIEVAL,-450,10014
84,294790,BALANCE_CHECK,2500,10000
85,554380,DEPOSIT,800,10009
86,639253,SERVICE_PAY,-350,10014
87,423064,RETRIEVAL,-150,10003
88,371086,BALANCE_CHECK,2500,10007
89,802009,RETRIEVAL,-400,10010
90,791402,DEPOSIT,400,10002
91,730873,DEPOSIT,800,10015
92,298799,SERVICE_PAY,-300,10008
93,129049,DEPOSIT,300,10006
94,583825,RETRIEVAL,-250,10009
95,743517,SERVICE_PAY,-350,10000
96,589589,BALANCE_CHECK,3500,10007
97,973810,BALANCE_CHECK,3500,10009
98,226770,BALANCE_CHECK,2500,10004
99,901185,RETRIEVAL,-300,10011
100,517927,RETRIEVAL,-100,10015
101,415449,BALANCE_CHECK,4000,10003
102,284064,SERVICE_PAY,-50,10003
103,628053,SERVICE_PAY,-150,10011
104,808797,DEPOSIT,300,10009
105,596938,RETRIEVAL,-100,10000
106,913099,SERVICE_PAY,-200,10000
107,438446,DEPOSIT,1000,10009
108,629384,RETRIEVAL,-300,10008
109,587932,DEPOSIT,500,10002
110,832307,SERVICE_PAY,-500,10008
111,956433,BALANCE_CHECK,2500,10003
112,956433,SERVICE_PAY,-400,10011
113,281101,DEPOSIT,100,10001
114,832307,SERVICE_PAY,-350,10007
115,589589,DEPOSIT,300,10003
116,398896,DEPOSIT,300,10012
117,517927,BALANCE_CHECK,3000,10009
118,262204,SERVICE_PAY,-400,10003
119,587932,SERVICE_PAY,-300,10010
120,332784,RETRIEVAL,-150,10007
121,298799,BALANCE_CHECK,1000,10007
122,294790,SERVICE_PAY,-50,10008
123,591132,RETRIEVAL,-50,10012
124,791402,DEPOSIT,600,10012
125,743517,RETRIEVAL,-200,10002
126,629384,BALANCE_CHECK,500,10008
127,639253,SERVICE_PAY,-350,10001
128,678713,SERVICE_PAY,-250,10004
129,403774,DEPOSIT,100,10008
130,413828,SERVICE_PAY,-350,10007
131,802009,DEPOSIT,500,10007
132,802009,BALANCE_CHECK,2500,10010
133,755454,RETRIEVAL,-350,10012
134,724465,BALANCE_CHECK,2000,10013
135,913099,SERVICE_PAY,-450,10003
136,678713,SERVICE_PAY,-500,10008
137,556524,BALANCE_CHECK,500,10007
138,693293,RETRIEVAL,-100,10009
139,754991,RETRIEVAL,-400,10007
140,294790,SERVICE_PAY,-250,10013
141,252817,SERVICE_PAY,-250,10010
142,395438,DEPOSIT,100,10001
143,811329,BALANCE_CHECK,1500,10002
144,412892,DEPOSIT,700,10000
145,383634,BALANCE_CHECK,5000,10009
146,973810,DEPOSIT,1000,10008
147,693293,BALANCE_CHECK,1000,10010
148,438446,BALANCE_CHECK,2000,10005
149,811329,SERVICE_PAY,-350,10007
150,952297,DEPOSIT,600,10002
151,125077,SERVICE_PAY,-100,10011
152,577157,SERVICE_PAY,-300,10006
153,832307,RETRIEVAL,-250,10012
154,629384,DEPOSIT,500,10012
155,855346,DEPOSIT,700,10007
156,891581,RETRIEVAL,-50,10009
157,371086,BALANCE_CHECK,1500,10003
158,423064,SERVICE_PAY,-400,10012
159,419101,SERVICE_PAY,-450,10005
160,811329,RETRIEVAL,-300,10003
161,412892,SERVICE_PAY,-500,10003
162,637833,DEPOSIT,700,10001
163,628053,DEPOSIT,200,10014
164,743517,DEPOSIT,600,10014
165,429023,BALANCE_CHECK,2500,10014
166,125077,RETRIEVAL,-100,10003
167,678713,RETRIEVAL,-50,10015
168,274972,DEPOSIT,400,10004
169,828086,BALANCE_CHECK,3500,10006
170,672050,BALANCE_CHECK,4000,10010
171,517927,DEPOSIT,100,10005
172,628053,DEPOSIT,600,10008
173,724465,BALANCE_CHECK,2500,10007
174,743517,DEPOSIT,200,10006
175,693293,RETRIEVAL,-300,10007
176,639253,SERVICE_PAY,-150,10010
177,952297,SERVICE_PAY,-150,10013
178,891581,RETRIEVAL,-250,10003
179,226770,SERVICE_PAY,-500,10001
180,517927,SERVICE_PAY,-400,10000
181,403774,DEPOSIT,400,10009
182,734731,RETRIEVAL,-500,10009
183,838688,DEPOSIT,1000,10013
184,429023,BALANCE_CHECK,1000,10003
185,693293,RETRIEVAL,-250,10006
186,678713,RETRIEVAL,-350,10006
187,668826,SERVICE_PAY,-200,10008
188,215204,RETRIEVAL,-100,10009
189,838688,BALANCE_CHECK,2000,10001
190,734731,SERVICE_PAY,-300,10005
191,839015,BALANCE_CHECK,1500,10013
192,811329,RETRIEVAL,-250,10015
193,951743,SERVICE_PAY,-450,10009
194,956433,BALANCE_CHECK,4000,10014
195,556524,RETRIEVAL,-450,10007
196,832617,BALANCE_CHECK,3000,10002
197,182500,RETRIEVAL,-250,10005
198,423064,DEPOSIT,200,10004
199,587932,SERVICE_PAY,-300,10009
200,942111,DEPOSIT,700,10006
201,920781,SERVICE_PAY,-350,10002
202,298799,SERVICE_PAY,-500,10011
203,453604,RETRIEVAL,-150,10008
204,129049,SERVICE_PAY,-100,10002
205,942111,BALANCE_CHECK,500,10015
206,948294,BALANCE_CHECK,1500,10004
207,395438,SERVICE_PAY,-300,10007
208,556524,DEPOSIT,1000,10011
209,724465,RETRIEVAL,-450,10009
210,443562,DEPOSIT,600,10010
211,596938,SERVICE_PAY,-200,10007
212,412892,DEPOSIT,400,10006
213,274972,DEPOSIT,500,10014
214,961635,RETRIEVAL,-300,10007
215,891581,SERVICE_PAY,-300,10013
216,596938,BALANCE_CHECK,2500,10013
217,214694,SERVICE_PAY,-200,10006
218,790232,BALANCE_CHECK,5000,10002
219,708611,BALANCE_CHECK,5000,10013
220,755454,DEPOSIT,100,10015
221,734731,SERVICE_PAY,-50,10000
222,832307,DEPOSIT,100,10001
223,637833,BALANCE_CHECK,4000,10003
224,942111,BALANCE_CHECK,4500,10007
225,802009,RETRIEVAL,-300,10008
226,959228,RETRIEVAL,-250,10015
227,129049,BALANCE_CHECK,3000,10003
228,357229,BALANCE_CHECK,2500,10002
229,443562,DEPOSIT,100,10000
230,252817,BALANCE_CHECK,2000,10006
231,907589,DEPOSIT,900,10007
232,423064,SERVICE_PAY,-100,10003
233,951743,BALANCE_CHECK,3500,10015
234,946596,DEPOSIT,500,10012
235,443562,BALANCE_CHECK,1000,10013
236,294790,DEPOSIT,400,10012
237,415449,SERVICE_PAY,-300,10001
238,961635,BALANCE_CHECK,4000,10012
239,948294,BALANCE_CHECK,2500,10013
240,297512,SERVICE_PAY,-300,10001
241,948294,RETRIEVAL,-250,10014
242,832307,RETRIEVAL,-150,10012
243,629384,BALANCE_CHECK,500,10000
244,956433,RETRIEVAL,-450,10013
245,403774,DEPOSIT,700,10006
246,692833,SERVICE_PAY,-200,10007
247,591132,DEPOSIT,600,10010
248,734731,DEPOSIT,600,10008
249,357229,DEPOSIT,900,10002
250,589589,BALANCE_CHECK,500,10014
251,959228,BALANCE_CHECK,1500,10014
252,274972,SERVICE_PAY,-150,10005
253,368908,RETRIEVAL,-450,10015
254,582753,SERVICE_PAY,-400,10005
255,301940,BALANCE_CHECK,4500,10003
256,948294,RETRIEVAL,-350,10015
257,413828,SERVICE_PAY,-100,10011
258,394760,RETRIEVAL,-150,10008
259,946596,BALANCE_CHECK,3000,10003
260,577157,RETRIEVAL,-500,10002
261,637833,RETRIEVAL,-300,10013
262,946596,SERVICE_PAY,-400,10015
263,942111,DEPOSIT,700,10006
264,353550,DEPOSIT,100,10002
265,959228,BALANCE_CHECK,3500,10002
266,383634,RETRIEVAL,-200,10007
267,770212,DEPOSIT,100,10009
268,956433,BALANCE_CHECK,2000,10004
269,839015,DEPOSIT,1000,10003
270,838688,BALANCE_CHECK,1000,10011
271,743517,RETRIEVAL,-350,10010
272,596938,SERVICE_PAY,-100,10010
273,419101,SERVICE_PAY,-250,10003
274,973810,BALANCE_CHECK,4500,10007
275,591132,SERVICE_PAY,-450,10002
276,912189,RETRIEVAL,-250,10008
277,951743,BALANCE_CHECK,4000,10015
278,395438,BALANCE_CHECK,4000,10007
279,678713,BALANCE_CHECK,3500,10004
280,438446,SERVICE_PAY,-300,10011
281,398896,RETRIEVAL,-100,10002
282,262204,BALANCE_CHECK,2500,10014
283,214694,BALANCE_CHECK,1000,10007
284,398896,BALANCE_CHECK,4000,10002
285,297512,DEPOSIT,500,10001
286,802009,DEPOSIT,800,10001
287,832617,SERVICE_PAY,-50,10010
288,332784,SERVICE_PAY,-500,10001
289,582753,BALANCE_CHECK,2500,10001
290,517927,DEPOSIT,1000,10004
291,639253,RETRIEVAL,-150,10003
292,301940,RETRIEVAL,-100,10015
293,920781,SERVICE_PAY,-500,10014
294,274972,RETRIEVAL,-250,10007
295,214694,BALANCE_CHECK,5000,10003
296,952297,BALANCE_CHECK,1500,10002
297,942111,SERVICE_PAY,-100,10003
298,944947,BALANCE_CHECK,2000,10005
299,942111,BALANCE_CHECK,2500,10012
300,438446,RETRIEVAL,-100,10013
301,682067,DEPOSIT,300,10008
302,403774,SERVICE_PAY,-300,10005
303,540502,BALANCE_CHECK,3000,10001
304,383634,SERVICE_PAY,-450,10013
305,754991,RETRIEVAL,-450,10005
306,668826,DEPOSIT,300,10003
307,639253,SERVICE_PAY,-50,10008
308,443562,RETRIEVAL,-400,10010
309,226770,BALANCE_CHECK,3000,10003
310,133521,BALANCE_CHECK,1500,10013
311,754991,BALANCE_CHECK,500,10009
312,920781,RETRIEVAL,-500,10005
313,116647,BALANCE_CHECK,3500,10002
314,517927,RETRIEVAL,-250,10014
315,791402,RETRIEVAL,-200,10007
316,946596,BALANCE_CHECK,2500,10000
317,708611,DEPOSIT,300,10000
318,583825,RETRIEVAL,-300,10008
319,920781,RETRIEVAL,-350,10000
320,672050,SERVICE_PAY,-500,10002
321,226770,RETRIEVAL,-250,10000
322,693293,DEPOSIT,600,10007
323,298799,DEPOSIT,1000,10008
324,901185,DEPOSIT,600,10009
325,693293,RETRIEVAL,-100,10014
326,591132,RETRIEVAL,-300,10004
327,357229,RETRIEVAL,-350,10005
328,839647,RETRIEVAL,-500,10004
329,791402,RETRIEVAL,-50,10014
330,591132,RETRIEVAL,-200,10003
331,371086,DEPOSIT,500,10010
332,948294,BALANCE_CHECK,500,10000
333,297512,RETRIEVAL,-450,10013
334,582753,SERVICE_PAY,-300,10011
335,959228,DEPOSIT,100,10004
336,298799,DEPOSIT,300,10015
337,961635,BALANCE_CHECK,4500,10009
338,517927,SERVICE_PAY,-300,10004
339,828086,DEPOSIT,100,10013
340,913099,DEPOSIT,900,10011
341,438446,BALANCE_CHECK,3000,10002
342,816398,SERVICE_PAY,-300,10005
343,948294,SERVICE_PAY,-350,10015
344,912189,SERVICE_PAY,-300,10005
345,901185,BALANCE_CHECK,1500,10006
346,453604,RETRIEVAL,-350,10000
347,907589,SERVICE_PAY,-300,10012
348,790232,BALANCE_CHECK,2000,10015
349,419101,BALANCE_CHECK,1000,10015
350,591132,DEPOSIT,300,10015
351,961635,BALANCE_CHECK,4000,10006
352,682067,RETRIEVAL,-250,10005
353,708611,BALANCE_CHECK,3000,10005
354,973810,RETRIEVAL,-200,10010
355,847700,DEPOSIT,900,10011
356,668826,BALANCE_CHECK,500,10014
357,298799,DEPOSIT,500,10012
358,453604,SERVICE_PAY,-500,10009
359,583825,SERVICE_PAY,-150,10012
360,816398,DEPOSIT,800,10007
361,628053,SERVICE_PAY,-300,10005
362,403774,BALANCE_CHECK,1500,10000
363,297512,BALANCE_CHECK,3500,10011
364,639253,DEPOSIT,300,10005
365,828086,DEPOSIT,1000,10006
366,517927,RETRIEVAL,-50,10001
367,816398,RETRIEVAL,-200,10007
368,755454,DEPOSIT,100,10013
369,952297,RETRIEVAL,-150,10015
370,540502,RETRIEVAL,-150,10007
371,556524,SERVICE_PAY,-200,10005
372,944947,DEPOSIT,600,10003
373,682067,SERVICE_PAY,-50,10013
374,596938,SERVICE_PAY,-300,10013
375,952297,SERVICE_PAY,-450,10000
376,294790,BALANCE_CHECK,1000,10011
377,383634,SERVICE_PAY,-150,10009
378,133521,DEPOSIT,400,10006
379,274972,DEPOSIT,500,10006
380,116647,RETRIEVAL,-450,10011
381,734731,DEPOSIT,300,10005
382,517927,BALANCE_CHECK,2500,10007
383,920781,RETRIEVAL,-150,10004
384,517927,SERVICE_PAY,-350,10009
385,816398,SERVICE_PAY,-350,10003
386,133521,DEPOSIT,600,10005
387,959228,RETRIEVAL,-200,10008
388,708611,SERVICE_PAY,-150,10001
389,556524,DEPOSIT,900,10012
390,637833,DEPOSIT,200,10006
391,226770,DEPOSIT,600,10000
392,252817,BALANCE_CHECK,2500,10005
393,116647,SERVICE_PAY,-50,10002
394,912189,DEPOSIT,500,10008
395,274972,DEPOSIT,600,10014
396,802009,RETRIEVAL,-50,10015
397,951743,DEPOSIT,400,10014
398,353550,DEPOSIT,800,10010
399,125077,RETRIEVAL,-50,10011
400,554380,BALANCE_CHECK,1000,10011
401,956433,RETRIEVAL,-100,10015
402,951743,SERVICE_PAY,-150,10001
403,298799,BALANCE_CHECK,3500,10012
404,394760,BALANCE_CHECK,2000,10004
405,629384,SERVICE_PAY,-500,10010
406,587932,DEPOSIT,200,10003
407,734731,BALANCE_CHECK,3000,10013
408,802009,SERVICE_PAY,-350,10014
409,297512,SERVICE_PAY,-100,10005
410,438446,SERVICE_PAY,-50,10001
411,832617,DEPOSIT,800,10001
412,226770,RETRIEVAL,-350,10007
413,281101,BALANCE_CHECK,4500,10010
414,294790,DEPOSIT,1000,10001
415,116647,RETRIEVAL,-250,10007
416,215204,SERVICE_PAY,-400,10000
417,423064,DEPOSIT,200,10008
418,443562,DEPOSIT,700,10014
419,218323,SERVICE_PAY,-350,10000
420,956433,DEPOSIT,100,10014
421,218323,SERVICE_PAY,-200,10010
422,832307,SERVICE_PAY,-50,10011
423,944947,DEPOSIT,500,10010
424,754991,RETRIEVAL,-300,10008
425,724465,BALANCE_CHECK,4500,10000
426,453604,SERVICE_PAY,-100,10000
427,429023,DEPOSIT,900,10001
428,946596,DEPOSIT,1000,10007
429,855346,DEPOSIT,800,10001
430,577157,SERVICE_PAY,-400,10004
431,802009,DEPOSIT,900,10003
432,672050,DEPOSIT,100,10005
433,415449,RETRIEVAL,-300,10014
434,589589,SERVICE_PAY,-200,10014
435,958114,RETRIEVAL,-500,10007
436,517927,DEPOSIT,400,10007
437,973810,SERVICE_PAY,-450,10013
438,556524,DEPOSIT,1000,10015
439,734731,RETRIEVAL,-350,10013
440,802009,BALANCE_CHECK,1500,10013
441,901185,RETRIEVAL,-300,10004
442,403774,SERVICE_PAY,-100,10007
443,435486,DEPOSIT,600,10010
444,294790,BALANCE_CHECK,2000,10011
445,920781,BALANCE_CHECK,1500,10000
446,672050,SERVICE_PAY,-150,10004
447,952297,BALANCE_CHECK,2500,10000
448,811329,SERVICE_PAY,-50,10010
449,252817,BALANCE_CHECK,3000,10008
450,262204,SERVICE_PAY,-100,10006
451,901185,DEPOSIT,600,10015
452,770212,BALANCE_CHECK,2500,10013
453,946596,DEPOSIT,600,10007
454,453604,SERVICE_PAY,-400,10003
455,371086,BALANCE_CHECK,2000,10014
456,371086,SERVICE_PAY,-50,10007
457,959228,SERVICE_PAY,-100,10010
458,692833,RETRIEVAL,-350,10005
459,961635,BALANCE_CHECK,1500,10005
460,770212,SERVICE_PAY,-400,10015
461,942111,SERVICE_PAY,-100,10002
462,125077,SERVICE_PAY,-50,10006
463,790232,SERVICE_PAY,-350,10010
464,419101,BALANCE_CHECK,3500,10014
465,129049,SERVICE_PAY,-100,10006
466,956433,RETRIEVAL,-450,10008
467,946596,RETRIEVAL,-50,10000
468,353550,RETRIEVAL,-400,10011
469,678713,RETRIEVAL,-150,10004
470,668826,DEPOSIT,400,10015
471,129049,BALANCE_CHECK,3500,10012
472,832307,RETRIEVAL,-50,10000
473,215204,BALANCE_CHECK,1500,10012
474,413828,RETRIEVAL,-400,10014
475,913099,RETRIEVAL,-500,10007
476,412892,BALANCE_CHECK,5000,10005
477,214694,DEPOSIT,700,10008
478,596938,RETRIEVAL,-150,10009
479,583825,DEPOSIT,100,10006
480,952297,SERVICE_PAY,-300,10001
481,128682,RETRIEVAL,-450,10009
482,693293,DEPOSIT,600,10009
483,942111,BALANCE_CHECK,5000,10015
484,554380,DEPOSIT,500,10000
485,423064,SERVICE_PAY,-350,10014
486,956433,DEPOSIT,100,10013
487,790232,SERVICE_PAY,-100,10000
488,294790,RETRIEVAL,-250,10006
489,811329,SERVICE_PAY,-150,10014
490,755454,RETRIEVAL,-500,10009
491,946596,DEPOSIT,400,10007
492,951743,BALANCE_CHECK,2500,10005
493,828086,DEPOSIT,900,10015
494,946596,SERVICE_PAY,-350,10009
495,582753,DEPOSIT,800,10015
496,743517,DEPOSIT,100,10010
497,281101,SERVICE_PAY,-350,10001
498,802009,SERVICE_PAY,-350,10011
499,828086,RETRIEVAL,-300,10008
500,951743,DEPOSIT,300,10002
501,973810,DEPOSIT,200,10006
502,628053,BALANCE_CHECK,4500,10014
503,838688,SERVICE_PAY,-100,10004
504,214694,SERVICE_PAY,-50,10004
505,116647,DEPOSIT,500,10009
506,596938,BALANCE_CHECK,500,10008
507,668826,DEPOSIT,300,10001
508,901185,DEPOSIT,200,10015
509,832617,BALANCE_CHECK,3000,10015
510,218323,DEPOSIT,900,10015
511,682067,RETRIEVAL,-250,10006
512,948294,SERVICE_PAY,-300,10014
513,262204,BALANCE_CHECK,1500,10011
514,438446,BALANCE_CHECK,3000,10011
515,368908,SERVICE_PAY,-300,10009
516,790232,DEPOSIT,1000,10014
517,724465,RETRIEVAL,-450,10011
518,743517,SERVICE_PAY,-500,10004
519,298799,SERVICE_PAY,-300,10000
520,540502,SERVICE_PAY,-250,10012
521,948294,BALANCE_CHECK,2000,10014
522,402189,RETRIEVAL,-100,10012
523,423064,RETRIEVAL,-300,10012
524,637833,RETRIEVAL,-150,10014
525,214694,BALANCE_CHECK,4000,10004
526,587932,BALANCE_CHECK,5000,10006
527,754991,SERVICE_PAY,-100,10014
528,847700,SERVICE_PAY,-450,10005
529,128682,BALANCE_CHECK,500,10015
530,628053,RETRIEVAL,-400,10012
531,816398,BALANCE_CHECK,4500,10010
532,284064,DEPOSIT,100,10002
533,948294,SERVICE_PAY,-100,10012
534,214694,RETRIEVAL,-100,10005
535,129049,DEPOSIT,500,10007
536,944947,BALANCE_CHECK,5000,10000
537,274972,SERVICE_PAY,-300,10008
538,682067,SERVICE_PAY,-300,10005
539,540502,SERVICE_PAY,-150,10005
540,944947,SERVICE_PAY,-400,10012
541,353550,BALANCE_CHECK,500,10003
542,412892,BALANCE_CHECK,4000,10007
543,913099,BALANCE_CHECK,3500,10011
544,577157,SERVICE_PAY,-150,10007
545,668826,DEPOSIT,500,10001
546,435486,BALANCE_CHECK,3000,10008
547,839015,SERVICE_PAY,-50,10006
548,891581,SERVICE_PAY,-450,10007
549,730873,SERVICE_PAY,-400,10007
550,262204,SERVICE_PAY,-300,10011
551,284064,DEPOSIT,900,10013
552,847700,BALANCE_CHECK,2000,10011
553,628053,SERVICE_PAY,-200,10014
554,811329,BALANCE_CHECK,3000,10004
555,913099,SERVICE_PAY,-500,10007
556,129049,BALANCE_CHECK,2500,10014
557,754991,BALANCE_CHECK,2000,10002
558,832617,BALANCE_CHECK,4000,10011
559,948294,DEPOSIT,200,10009
560,332784,BALANCE_CHECK,2500,10015
561,946596,RETRIEVAL,-250,10013
562,754991,BALANCE_CHECK,4000,10015
563,944947,RETRIEVAL,-450,10005
564,281101,RETRIEVAL,-450,10015
565,218323,DEPOSIT,200,10014
566,958114,SERVICE_PAY,-200,10008
567,215204,SERVICE_PAY,-500,10001
568,724465,RETRIEVAL,-50,10009
569,832307,SERVICE_PAY,-50,10010
570,668826,BALANCE_CHECK,3000,10007
571,429023,BALANCE_CHECK,1000,10015
572,395438,BALANCE_CHECK,4500,10015
573,951743,DEPOSIT,800,10002
574,847700,SERVICE_PAY,-200,10014
575,956433,SERVICE_PAY,-150,10014
576,847700,SERVICE_PAY,-400,10000
577,891581,BALANCE_CHECK,500,10001
578,583825,BALANCE_CHECK,3000,10012
579,297512,BALANCE_CHECK,4500,10012
580,952297,DEPOSIT,500,10005
581,419101,SERVICE_PAY,-100,10005
582,129049,DEPOSIT,1000,10012
583,371086,BALANCE_CHECK,3500,10004
584,443562,DEPOSIT,200,10004
585,855346,RETRIEVAL,-150,10012
586,808797,SERVICE_PAY,-50,10001
587,252817,BALANCE_CHECK,4000,10005
588,419101,BALANCE_CHECK,5000,10010
589,297512,BALANCE_CHECK,4500,10008
590,301940,BALANCE_CHECK,500,10009
591,577157,DEPOSIT,600,10004
592,353550,RETRIEVAL,-250,10003
593,839015,SERVICE_PAY,-300,10007
594,628053,RETRIEVAL,-100,10003
595,946596,BALANCE_CHECK,3500,10005
596,297512,RETRIEVAL,-300,10008
597,808797,DEPOSIT,600,10011
598,419101,BALANCE_CHECK,1000,10009
599,958114,DEPOSIT,1000,10007
600,587932,DEPOSIT,500,10002
601,540502,BALANCE_CHECK,1000,10012
602,832307,DEPOSIT,100,10012
603,891581,BALANCE_CHECK,3500,10001
604,708611,SERVICE_PAY,-100,10006
605,517927,DEPOSIT,800,10012
606,383634,DEPOSIT,1000,10004
607,808797,RETRIEVAL,-250,10001
608,754991,RETRIEVAL,-100,10010
609,419101,SERVICE_PAY,-300,10006
610,913099,SERVICE_PAY,-150,10005
611,402189,SERVICE_PAY,-150,10001
612,589589,RETRIEVAL,-300,10006
613,672050,RETRIEVAL,-500,10009
614,811329,BALANCE_CHECK,4000,10008
615,946596,SERVICE_PAY,-500,10000
616,297512,DEPOSIT,600,10008
617,218323,RETRIEVAL,-400,10012
618,274972,RETRIEVAL,-150,10008
619,678713,RETRIEVAL,-500,10010
620,215204,RETRIEVAL,-350,10006
621,215204,SERVICE_PAY,-200,10009
622,419101,BALANCE_CHECK,3000,10002
623,946596,BALANCE_CHECK,1000,10005
624,403774,DEPOSIT,600,10001
625,637833,DEPOSIT,1000,10015
626,182500,DEPOSIT,100,10005
627,959228,BALANCE_CHECK,5000,10000
628,639253,BALANCE_CHECK,4500,10002
629,847700,BALANCE_CHECK,4000,10002
630,948294,SERVICE_PAY,-150,10010
631,182500,DEPOSIT,700,10012
632,294790,SERVICE_PAY,-500,10008
633,383634,RETRIEVAL,-400,10004
634,958114,BALANCE_CHECK,3500,10008
635,637833,RETRIEVAL,-100,10013
636,274972,SERVICE_PAY,-450,10005
637,791402,RETRIEVAL,-150,10004
638,297512,RETRIEVAL,-50,10012
639,770212,SERVICE_PAY,-100,10002
640,961635,SERVICE_PAY,-150,10014
641,582753,BALANCE_CHECK,1000,10000
642,951743,DEPOSIT,300,10010
643,577157,SERVICE_PAY,-450,10005
644,730873,SERVICE_PAY,-150,10008
645,944947,DEPOSIT,300,10005
646,423064,RETRIEVAL,-450,10003
647,214694,BALANCE_CHECK,5000,10000
648,589589,SERVICE_PAY,-150,10002
649,413828,DEPOSIT,300,10004
650,839647,RETRIEVAL,-400,10006
651,951743,SERVICE_PAY,-500,10004
652,419101,DEPOSIT,500,10014
653,734731,SERVICE_PAY,-200,10003
654,678713,DEPOSIT,200,10013
655,556524,BALANCE_CHECK,500,10013
656,668826,BALANCE_CHECK,3500,10015
657,913099,DEPOSIT,200,10003
658,517927,DEPOSIT,200,10002
659,252817,BALANCE_CHECK,1000,10000
660,907589,DEPOSIT,100,10015
661,961635,SERVICE_PAY,-450,10000
662,357229,BALANCE_CHECK,500,10011
663,214694,BALANCE_CHECK,2500,10005
664,912189,RETRIEVAL,-400,10013
665,357229,SERVICE_PAY,-350,10011
666,443562,DEPOSIT,600,10003
667,281101,DEPOSIT,900,10003
668,958114,RETRIEVAL,-100,10010
669,832617,RETRIEVAL,-400,10007
670,423064,RETRIEVAL,-50,10004
671,215204,BALANCE_CHECK,4500,10008
672,828086,SERVICE_PAY,-100,10012
673,944947,DEPOSIT,700,10004
674,368908,RETRIEVAL,-50,10010
675,855346,SERVICE_PAY,-150,10002
676,589589,SERVICE_PAY,-250,10007
677,839647,DEPOSIT,900,10015
678,554380,DEPOSIT,100,10013
679,708611,SERVICE_PAY,-50,10014
680,398896,SERVICE_PAY,-500,10006
681,353550,RETRIEVAL,-400,10002
682,811329,DEPOSIT,700,10000
683,368908,RETRIEVAL,-150,10001
684,628053,SERVICE_PAY,-350,10008
685,951743,DEPOSIT,600,10012
686,637833,BALANCE_CHECK,500,10009
687,353550,RETRIEVAL,-450,10001
